city,property_id,property_name,property_type,site_eui,energy_star_score,total_ghg_mtco2e,zip,gross_floor_area_sqft
denver,5692,231001,Other - Technology/Science,280.0,0.0,14530.4,802020000,
denver,2389,1890 Wynkoop,Parking,81.9,0.0,460.7,80202,
denver,2763,The Fillmore Auditorium,PERFORMING ARTS,37.5,0.0,189.8,80218,
denver,1809,Denver Children's Home,RESIDENTIAL CARE FACILITY,67.1,0.0,276.1,80220,
denver,1372,4330 E 48th Ave - Homeless Overflow,Other - Lodging/Residential,110.8,0.0,386.6,80216,
denver,4384,Hillel Academy,Other - Education,54.5,0.0,140.6,80246,
denver,1887,FREG Race Court Assoc. LLC,Refrigerated Warehouse,157.2,15.0,3731.1,80216,
denver,4690,Braman Colorado Imports,AUTOMOBILE DEALERSHIP,111.5,0.0,668.6,80014,
denver,2995,Colorado PERA-Penn Center,Other - Public Services,60.4,0.0,758.2,80203,
denver,5538,The Center at Lowry,RESIDENTIAL CARE FACILITY,105.1,0.0,1243.7,80230,
denver,3318,Yuma Street,Other - Education,69.0,0.0,566.7,80204,
denver,5148,1155 W 5th LLC,Fitness Center/Health Club/Gym,37.5,0.0,125.1,80204,
denver,2719,Civic Center,Fitness Center/Health Club/Gym,64.0,1.0,1804.6,80203,
denver,3200,Construction Industry Training Center,VOCATIONAL SCHOOL,44.6,0.0,122.2,80204,
denver,2491,Robert and Judy Newman (Tramway) Building,PERFORMING ARTS,53.5,0.0,726.1,80204-2157,
denver,3326,Florence Crittenton Services,Pre-school/Daycare,73.9,0.0,184.4,80223,
denver,4017,Bishop Machebeuf High School,VOCATIONAL SCHOOL,98.8,0.0,728.4,80230,
denver,2467,Downtown Aquarium,Aquarium,317.9,0.0,4476.1,80211,
denver,3399,"Grant Avenue Community Center And Sacred Place, Inc.",PERFORMING ARTS,44.3,0.0,75.1,80209,
denver,4026,The Denver Hospice,Other - Specialty Hospital,131.9,0.0,654.6,80230,
denver,5688,233001,Other - Technology/Science,71.9,0.0,1015.8,80211,
denver,2536,Montessori Academy of Colorado,Pre-school/Daycare,45.4,0.0,228.3,80205,
denver,3099,"CBS Television Stations, Inc - KCNC TV4",Other - Technology/Science,165.9,0.0,1118.5,80203,
denver,5901,Gourmet Foods International,Refrigerated Warehouse,83.4,53.0,636.0,80239,
denver,5048,Sam's Club #6635,Wholesale Club/Supercenter,121.0,27.0,2074.7,80123,
denver,4953,Main Clubhouse - Denver Benchmark #4953,Restaurant,76.0,0.0,874.3,80235-3010,
denver,1726,3851 - 3871 Revere,Other - Services,50.3,0.0,310.9,80239,
denver,2547,Samaritan House,Other - Lodging/Residential,143.9,0.0,737.1,80205,
denver,1804,Vickers,Other - Education,55.9,0.0,153.5,80207,
denver,5999,Westside Clinic,Urgent Care/Clinic/Other Outpatient,80.4,0.0,483.1,80204,
denver,2107,3770,Wholesale Club/Supercenter,70.5,12.0,831.3,80205,
denver,3574,Athmar Park Shopping Center,Other - Mall,0.0,0.0,0.0,80223-2936,
denver,2183,Crossroads Shelter,Other - Public Services,70.3,0.0,257.1,80216,
denver,1735,Denver Womans Corr Facility,Prison/Incarceration,164.7,0.0,7101.2,80239,
denver,4725,Fairways Center,Other - Mall,111.9,0.0,668.0,80014-4845,
denver,1513,The Crossing,Residence Hall/Dormitory,80.7,58.0,910.3,80216,
denver,3855,Walmart Supercenter #5676,Wholesale Club/Supercenter,106.2,75.0,1404.9,80219,
denver,1118,Gateway VII,Other - Services,60.8,0.0,299.3,80723,
denver,1524,PPRM Stapleton,Urgent Care/Clinic/Other Outpatient,110.4,0.0,617.0,80207,
denver,5507,RCV Sales & Service,AUTOMOBILE DEALERSHIP,38.1,0.0,153.6,80203,
denver,2253,Colorado Housing and Finance Authority,Financial Office,62.0,74.0,430.8,80202,
denver,5189,Briarwood health Care,RESIDENTIAL CARE FACILITY,130.9,0.0,474.8,80206,
